Amount of ligand (mol %),Amount of base (eq.),Frequency (Hz),Temperature(C),Time (h),NMR yield (%),Current type,HOMO_R1,LUMO_R1,MU_R1,HOMO_R2,LUMO_R2,MU_R2,HOMO_SOLV,LUMO_SOLV,MU_SOLV,HOMO_BASE,LUMO_BASE,MU_BASE,HOMO_LIGAND,LUMO_LIGAND,MU_LIGAND,HOMO_ELECTR,LUMO_ELECTR,MU_ELECTR
15.0,0.0,5.0,20,2,80,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,5.0,20,2,79,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
15.0,0.0,5.0,20,2,44,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.105,-1.109,1.21559,-6.465,-1.674,7.1782
10.0,0.0,5.0,20,2,78,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
20.0,0.0,5.0,20,2,77,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,5.0,20,2,53,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-4.714,-0.363,13.40087
15.0,0.0,5.0,20,2,16,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.845,-1.587,7.097
15.0,0.0,5.0,20,2,28,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-8.426,0.34,15.23556
15.0,0.0,5.0,20,2,63,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.91,0.221,4.17532,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,5.0,20,2,28,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-9.163,0.102,4.01553,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,0.1,20,2,55,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,0.5,20,2,82,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,2,87,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,10.0,20,2,78,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,25.0,20,2,48,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,5.0,20,4,99,0,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,5.0,20,4,29,0,-7.332,-1.56,1.37144,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-5.994,-0.889,2.12786,-6.465,-1.674,7.1782
0.0,0.0,5.0,20,4,68,0,-7.332,-1.56,1.37144,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,0.0,0.0,0.0,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,13,0,-6.543,-2.622,2.0732,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,22,0,-7.332,-1.56,1.37144,-5.459,-0.233,1.36911,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,23,0,-6.198,-0.782,2.84948,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,98,0,-7.332,-1.56,1.37144,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,91,0,-7.332,-1.56,1.37144,-6.454,0.557,1.14875,-6.91,0.221,4.17532,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,82,0,-7.332,-1.56,1.37144,-6.414,0.513,1.2967,-6.91,0.221,4.17532,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,86,0,-7.332,-1.56,1.37144,-6.023,0.571,0.91442,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,79,0,-7.332,-1.56,1.37144,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,86,0,-7.083,-1.853,1.97481,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,75,0,-6.265,-1.627,2.02474,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,82,0,-6.711,-0.72,1.60165,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,65,0,-7.179,-1.412,2.05234,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,86,0,-6.449,-0.759,3.24055,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
10.0,1.0,2.0,20,4,42,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,1.0,2.0,20,4,9,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.591,0.366,3.22288,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,1.0,2.0,20,4,5,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-6.437,0.151,0.45234,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,1.0,2.0,20,4,22,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
5.0,1.0,2.0,20,4,37,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
20.0,1.0,2.0,20,4,14,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,1.0,2.0,20,4,34,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-4.714,-0.363,13.40087
10.0,1.0,2.0,20,4,41,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,1.0,2.0,20,4,25,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.692,0.203,3.98497,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,1.0,2.0,20,4,21,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-9.163,0.102,4.01553,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,1.0,2.0,60,4,21,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,2.0,20,4,53,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,0.5,20,4,35,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,5.0,20,4,71,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,4,62,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,25.0,20,4,40,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,87,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,1.0,2.0,20,4,8,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-4.403,-0.417,14.39905
10.0,1.0,2.0,20,4,12,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-5.994,-0.889,2.12786,-6.465,-1.674,7.1782
5.0,2.0,2.0,20,3,50,0,-7.332,-1.56,1.37144,-7.682,0.301,1.67761,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,1.0,2.0,20,4,34,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-4.714,-0.363,13.40087
10.0,1.0,2.0,20,4,5,0,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.591,0.366,3.22288,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,15,0,-6.449,-0.759,3.24055,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,5.0,20,8,35,0,-7.33,-0.351,2.86425,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,17,0,-7.347,-2.067,3.16853,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,14,0,-7.124,-2.126,2.48449,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,72,0,-7.332,-1.56,1.37144,-6.899,-0.649,1.59255,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,5.0,20,8,65,0,-7.332,-1.56,1.37144,-7.402,0.411,1.68106,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,5.0,20,16,73,0,-7.332,-1.56,1.37144,-7.561,0.322,1.70416,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,85,0,-7.083,-1.853,1.97481,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,66,0,-7.179,-1.412,2.05234,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,10.0,2.0,20,4,74,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
3.0,10.0,2.0,20,4,71,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
1.5,10.0,2.0,20,4,20,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
1.5,10.0,2.0,20,4,56,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-5.591,0.366,3.22288,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
1.5,10.0,2.0,20,4,47,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-7.505,0.206,1.63391,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,20,4,67,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,20,4,68,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-3.451,-0.776,5.54465,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,20,4,41,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.403,-1.507,0.00399,-8.426,0.34,15.23556
10.0,10.0,2.0,20,4,24,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.105,-1.109,1.21559,-8.426,0.34,15.23556
5.0,10.0,2.0,20,4,73,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
15.0,10.0,2.0,20,4,57,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,20,4,52,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,10.0,2.0,20,4,86,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,20,4,35,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-9.163,0.102,4.01553,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,0.5,20,4,62,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,5.0,20,4,34,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,87,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,6,32,0,-6.4,-1.067,2.2126,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,1.5,2.0,20,4,9,0,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-6.437,0.151,0.45234,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,20,4,10,0,-7.179,-1.412,1.69037,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,20,4,24,0,-7.472,-1.533,1.30143,-6.767,-0.251,2.48091,-6.91,0.221,4.17532,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,81,0,-7.332,-1.56,1.37144,-7.385,-1.745,2.19298,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,82,0,-7.332,-1.56,1.37144,-7.736,-7.344,4.94945,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,84,0,-7.332,-1.56,1.37144,-7.859,-0.367,0.70646,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,89,0,-7.083,-1.853,1.97481,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,65,0,-7.347,-2.067,3.16853,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,79,0,-6.265,-1.627,2.02474,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
15.0,0.0,5.0,20,2,47,1,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,66,1,-7.332,-1.56,1.37144,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,45,1,-6.449,-0.759,3.24055,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
10.0,2.0,2.0,20,8,26,1,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,29,1,-7.179,-1.412,2.05234,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,10.0,2.0,60,4,13,1,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,23,1,-7.347,-2.067,3.16853,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,4,1,-6.265,-1.627,2.02474,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
